12,53,,,,,,,,,,,,,,,,,,
Haplotypea,7–2,8–3,110–4,55–4,,13–2,,23–4,,7–3,,5–2,,17–3,,12–2,,92–4,106–4
1,188,268,382,189,,311,,407,,225,,332,,359,,238,,388,572
2a,188,270,397,189,,322,,407,,220,,332,,359,,232,,388,572D
2b,188,270,397,189,,322,,407,,220,,332,,359,,232,,388,576D
3a,186,268,390D,189,,332,,407,,225,,332,,353,,238,,388,577
3b,186,268,394D,189,,332,,407,,225,,332,,353,,238,,388,577
4,186,268,382,189,,311,,407,,222,,332,,353,,234,,388,572
6a,186,268,397,189,,332,,407,,222,,332,,353,,234,,388,568D
6b,186,268,397,189,,332,,407,,222,,332,,353,,234,,388,593D
7,188,270,390,189,,322,,407,,225,,332,,353,,238,,390,577
8a,188,270,390,189,,322,,407,,220,,332,,359D,,232,,390,581D
8b,188,270,390,189,,322,,407,,220,,332,,359D,,232,,390,585D
8c,188,270,390,189,,322,,407,,220,,332,,365D,,232,,390,605D
9,188,268,390,189,,332,,407,,225,,334,,359,,238,,391,568
11,188,268,393,189,,332,,407,,220,,332,,359,,232,,391,554
12a,176,262,386,205,,332,,405,,220,,332,,365,,232,,388,574D
12b,176,262,386,205,,332,,405,,220,,332,,365,,232,,388,578D
13,188,272,382,193,,322,,407,,222,,332,,359,,234,,388,565
14,188,272,393,189,,332,,407,,225,,332,,361,,238,,390,550
15,186,272,382,173,,322,,407,,222,,332,,359,,234,,388,554
16,186,270,397,189,,332,,407,,222,,332,,353,,234,,388,585
17,188,270,397,189,,332,,407,,222,,332,,353,,234,,388,574
18,186,268,382,240,,332,,407,,225,,332,,359,,238,,388,585
19,186,270,397,181,,332,,407,,220,,334,,359,,232,,391,550
20,188,270,382,181,,322,,407,,222,,332,,353,,234,,391,543
21,186,270,397,189,,322,,407,,220,,332,,359,,232,,388,572
23,186,268,397,173,,311,,405,,220,,332,,359,,232,,388,589
24,188,270,397,189,,322,,407,,220,,332,,359,,232,,388,572
25a,176,262,386,232,,332,,405,,220,,332,,375,,232,,388,598D
25b,176,262,386,232,,332,,405,,220,,332,,375,,232,,388,589D
28a,186,270,390,189,,338D,,407,,225,,332,,359,,238,,388,572
28b,186,270,390,189,,342D,,407,,225,,332,,359,,238,,388,572
30,186,270,382,181,,322,,407,,225,,332,,353,,238,,388,562
31,188,268,390,181,,322,,407,,225,,334,,353,,238,,388,572
33,188,270,390,193,,322,,407,,220,,332,,359,,232,,390,585
34,186,268,397,177,,347,,407,,225,,332,,359,,238,,388,554
36,186,270,394,193,,322,,407,,222,,332,,353,,234,,388,558
37,188,268,382,193,,311,,407,,225,,332,,361,,238,,390,572
38,186,268,382,181,,311,,407,,222,,332,,359,,234,,390,581
43,186,270,390,185,,332,,407,,222,,332,,353,,234,,391,585
46,188,268,382,193,,322,,407,,225,,332,,359,,238,,391,546
53,188,268,397,181,,374,,407,,225,,332,,359,,238,,388,572
57,176,262,386,185,,332,,405,,220,,332,,367,,232,,388,535
60,188,268,397,181,,332,,407,,220,,334,,359,,232,,391,568
61,188,268,397,181,,332,,407,,225,,332,,359,,238,,388,554
62,186,268,382,173,,311,,405,,220,,332,,371,,232,,390,577
64,186,270,397,185,,332,,407,,222,,332,,353,,234,,388,562
66,188,270,390,189,,332,,407,,220,,332,,353,,232,,390,581
69,188,270,382,189,,311,,407,,225,,332,,378,,238,,395,574
71,176,262,386,228,,332,,405,,220,,332,,367,,232,,388,535
73,186,268,382,181,,311,,407,,220,,332,,353,,232,,390,581
77,188,268,397,181,,322,,407,,222,,332,,353,,234,,388,565